Ne,C,gamma,avg,max,min,train_eps,test_eps,npy_fname
31,36,0.8,26.129,55,7,24000,1000
30.0,40.0,0.3,24.895,55,4,50000,1000,Ne-30.00 C-40.00 gamma-0.30 avg-24.89500.npy
32.0,20.0,0.5,25.963,57,2,27000,1000,Ne-32.00 C-20.00 gamma-0.50 avg-25.96300.npy
39.0,20.0,0.9,23.47,52,7,39000,1000,Ne-39.00 C-20.00 gamma-0.90 avg-23.47000.npy
39.0,10.0,0.5,23.066,57,3,26000,1000,Ne-39.00 C-10.00 gamma-0.50 avg-23.06600.npy
37.0,10.0,0.8,22.904,51,4,49000,1000,Ne-37.00 C-10.00 gamma-0.80 avg-22.90400.npy
32.0,40.0,0.3,26.429,60,7,50000,1000,Ne-32.00 C-40.00 gamma-0.30 avg-26.42900.npy
36.0,15.0,0.4,23.915,52,7,47000,1000,Ne-36.00 C-15.00 gamma-0.40 avg-23.91500.npy
33.0,10.0,0.6000000000000001,23.677,60,6,25000,1000,Ne-33.00 C-10.00 gamma-0.60 avg-23.67700.npy
40.0,25.0,0.6000000000000001,22.125,51,4,33000,1000,Ne-40.00 C-25.00 gamma-0.60 avg-22.12500.npy
30.0,20.0,0.7000000000000001,23.161,54,4,33000,1000,Ne-30.00 C-20.00 gamma-0.70 avg-23.16100.npy
39.0,15.0,0.7000000000000001,22.501,51,2,35000,1000,Ne-39.00 C-15.00 gamma-0.70 avg-22.50100.npy
34.0,15.0,0.5,24.678,53,7,40000,1000,Ne-34.00 C-15.00 gamma-0.50 avg-24.67800.npy
35.0,15.0,0.6000000000000001,23.017,54,4,37000,1000,Ne-35.00 C-15.00 gamma-0.60 avg-23.01700.npy
37.0,20.0,0.6000000000000001,24.757,54,6,33000,1000,Ne-37.00 C-20.00 gamma-0.60 avg-24.75700.npy
34.0,40.0,0.9,23.684,52,2,26000,1000,Ne-34.00 C-40.00 gamma-0.90 avg-23.68400.npy
39.0,30.0,0.6000000000000001,24.578,50,7,40000,1000,Ne-39.00 C-30.00 gamma-0.60 avg-24.57800.npy
65.0,80.0,0.8,23.021,51,2,50000,1000,Ne-65.00 C-80.00 gamma-0.80 avg-23.02100.npy
