Ne,C,gamma,avg,max,min,train_eps,test_eps
45,50,0.4,12.252,31,2,10000,1000
45,50,0.5,11.556,31,1,10000,1000
45,50,0.6,12.834,29,1,10000,1000
50,30,0.4,11.951,30,2,10000,1000
50,30,0.5,12.756,31,2,10000,1000
50,30,0.6,12.098,32,1,10000,1000
50,30,0.7,8.425,23,1,10000,1000
50,30,0.7999999999999999,12.424,30,2,10000,1000
50,30,0.8999999999999999,11.476,31,2,10000,1000
50,35,0.4,10.047,26,1,10000,1000
50,35,0.5,10.277,26,2,10000,1000
50,35,0.6,11.982,29,2,10000,1000
50,35,0.7,12.436,31,2,10000,1000
50,35,0.7999999999999999,10.998,26,1,10000,1000
50,35,0.8999999999999999,11.701,31,2,10000,1000
50,40,0.5,12.253,30,2,10000,1000
50,40,0.6,11.706,31,1,10000,1000
50,40,0.7,11.813,30,2,10000,1000
50,40,0.8999999999999999,11.917,30,2,10000,1000
50,45,0.5,11.658,30,1,10000,1000
50,45,0.7,11.065,29,2,10000,1000
50,45,0.7999999999999999,12.79,31,1,10000,1000
50,45,0.8999999999999999,11.885,29,1,10000,1000
50,50,0.6,11.035,30,1,10000,1000
50,50,0.8999999999999999,11.959,31,1,10000,1000
30,30,0.6,16.233,39,2,10000,1000
30,30,0.7,16.084,41,2,10000,1000
30,30,0.7999999999999999,15.432,32,2,10000,1000
30,40,0.6,15.899,33,1,10000,1000
30,40,0.7999999999999999,16.521,37,1,10000,1000
30,40,0.8999999999999999,15.818,36,2,10000,1000
40,30,0.6,14.07,35,1,10000,1000
40,30,0.7,13.139,30,1,10000,1000
40,30,0.7999999999999999,12.045,31,2,10000,1000
40,30,0.8999999999999999,13.323,31,1,10000,1000
40,40,0.6,12.706,31,1,10000,1000
40,40,0.7,13.359,34,2,10000,1000
40,40,0.7999999999999999,13.116,30,2,10000,1000
40,50,0.7999999999999999,13.123,32,1,10000,1000
50,30,0.6,12.796,29,2,10000,1000
50,30,0.7,11.522,27,2,10000,1000
50,30,0.8999999999999999,12.475,32,2,10000,1000
50,40,0.7,13.087,30,2,10000,1000
50,40,0.7999999999999999,12.33,30,2,10000,1000
50,40,0.8999999999999999,10.365,30,2,10000,1000
50,50,0.6,12.402,31,1,10000,1000
50,50,0.7,12.064,34,2,10000,1000
50,50,0.7999999999999999,8.338,23,2,10000,1000
50,50,0.8999999999999999,11.983,31,2,10000,1000
30,30,0.6,17.088,38,1,10000,1000
30,30,0.7,16.072,35,1,10000,1000
30,30,0.7999999999999999,14.011,34,2,10000,1000
30,30,0.8999999999999999,16.768,40,2,10000,1000
30,40,0.7,14.358,29,2,10000,1000
30,40,0.7999999999999999,15.257,41,2,10000,1000
30,40,0.8999999999999999,16.851,43,2,10000,1000
30,50,0.7999999999999999,15.185,36,1,10000,1000
40,30,0.6,12.964,28,2,10000,1000
40,40,0.6,13.516,31,1,10000,1000
40,50,0.7999999999999999,13.657,35,2,10000,1000
40,50,0.8999999999999999,12.329,30,1,10000,1000
50,30,0.7,9.026,25,1,10000,1000
50,30,0.7999999999999999,12.2,28,1,10000,1000
50,30,0.8999999999999999,12.713,31,2,10000,1000
50,40,0.6,11.094,27,1,10000,1000
50,40,0.7,11.315,27,1,10000,1000
