Ne,C,gamma,avg,max,min,train_eps,test_eps,npy_fname
38.0,10.0,0.4,24.436,53,7,30000,1000,Ne-38.00 C-10.00 gamma-0.40 avg-24.43600.npy
40.0,35.0,0.6000000000000001,24.496,56,5,46000,1000,Ne-40.00 C-35.00 gamma-0.60 avg-24.49600.npy
33.0,20.0,0.9,22.909,53,4,38000,1000,Ne-33.00 C-20.00 gamma-0.90 avg-22.90900.npy
35.0,20.0,0.6000000000000001,24.146,59,3,33000,1000,Ne-35.00 C-20.00 gamma-0.60 avg-24.14600.npy
38.0,10.0,0.8,23.292,57,3,50000,1000,Ne-38.00 C-10.00 gamma-0.80 avg-23.29200.npy
32.0,10.0,0.6000000000000001,24.73,55,3,26000,1000,Ne-32.00 C-10.00 gamma-0.60 avg-24.73000.npy
31.0,40.0,0.5,23.95,53,3,36000,1000,Ne-31.00 C-40.00 gamma-0.50 avg-23.95000.npy
33.0,15.0,0.4,25.711,56,7,50000,1000,Ne-33.00 C-15.00 gamma-0.40 avg-25.71100.npy
35.0,40.0,0.6000000000000001,25.395,57,7,30000,1000,Ne-35.00 C-40.00 gamma-0.60 avg-25.39500.npy
40.0,10.0,0.8,22.373,54,4,30000,1000,Ne-40.00 C-10.00 gamma-0.80 avg-22.37300.npy
35.0,30.0,0.9,23.734,54,6,39000,1000,Ne-35.00 C-30.00 gamma-0.90 avg-23.73400.npy
40.0,20.0,0.9,23.03,54,7,34000,1000,Ne-40.00 C-20.00 gamma-0.90 avg-23.03000.npy
39.0,20.0,0.8,22.278,55,5,49000,1000,Ne-39.00 C-20.00 gamma-0.80 avg-22.27800.npy
32.0,20.0,0.4,25.834,56,3,38000,1000,Ne-32.00 C-20.00 gamma-0.40 avg-25.83400.npy
39.0,15.0,0.8,22.739,49,4,37000,1000,Ne-39.00 C-15.00 gamma-0.80 avg-22.73900.npy
70.0,85.0,0.6000000000000001,22.23,52,2,45000,1000,Ne-70.00 C-85.00 gamma-0.60 avg-22.23000.npy
85.0,55.0,0.5,22.599,52,3,50000,1000,Ne-85.00 C-55.00 gamma-0.50 avg-22.59900.npy
85.0,90.0,0.30000000000000004,20.297,41,1,33000,1000,Ne-85.00 C-90.00 gamma-0.30 avg-20.29700.npy
80.0,60.0,0.30000000000000004,24.14,48,4,50000,1000,Ne-80.00 C-60.00 gamma-0.30 avg-24.14000.npy
65.0,80.0,0.5,23.064,50,2,50000,1000,Ne-65.00 C-80.00 gamma-0.50 avg-23.06400.npy
90.0,65.0,0.8,23.236,47,3,50000,1000,Ne-90.00 C-65.00 gamma-0.80 avg-23.23600.npy
90.0,60.0,0.5,22.036,45,2,50000,1000,Ne-90.00 C-60.00 gamma-0.50 avg-22.03600.npy
75.0,90.0,0.4,24.156,62,4,50000,1000,Ne-75.00 C-90.00 gamma-0.40 avg-24.15600.npy
55.0,90.0,0.6000000000000001,23.228,50,2,48000,1000,Ne-55.00 C-90.00 gamma-0.60 avg-23.22800.npy
90.0,55.0,0.2,23.495,49,2,50000,1000,Ne-90.00 C-55.00 gamma-0.20 avg-23.49500.npy
85.0,70.0,0.6000000000000001,20.726,43,2,41000,1000,Ne-85.00 C-70.00 gamma-0.60 avg-20.72600.npy
55.0,55.0,0.5,24.692,50,7,47000,1000,Ne-55.00 C-55.00 gamma-0.50 avg-24.69200.npy
70.0,65.0,0.6000000000000001,22.826,55,2,42000,1000,Ne-70.00 C-65.00 gamma-0.60 avg-22.82600.npy
55.0,70.0,0.30000000000000004,23.791,48,1,38000,1000,Ne-55.00 C-70.00 gamma-0.30 avg-23.79100.npy
65.0,55.0,0.8,22.901,53,3,39000,1000,Ne-65.00 C-55.00 gamma-0.80 avg-22.90100.npy
55.0,65.0,0.30000000000000004,23.532,49,2,43000,1000,Ne-55.00 C-65.00 gamma-0.30 avg-23.53200.npy
90.0,65.0,0.30000000000000004,22.625,46,3,50000,1000,Ne-90.00 C-65.00 gamma-0.30 avg-22.62500.npy
55.0,80.0,0.7000000000000002,23.329,49,5,43000,1000,Ne-55.00 C-80.00 gamma-0.70 avg-23.32900.npy
85.0,90.0,0.7000000000000002,21.062,51,2,45000,1000,Ne-85.00 C-90.00 gamma-0.70 avg-21.06200.npy
80.0,75.0,0.6000000000000001,23.538,52,3,50000,1000,Ne-80.00 C-75.00 gamma-0.60 avg-23.53800.npy
85.0,60.0,0.8,24.311,49,3,50000,1000,Ne-85.00 C-60.00 gamma-0.80 avg-24.31100.npy
